"filename", "language", "YAML", "JSON", "Swift", "Markdown", "XML", "C++", "Dart", "HTML", "CMake", "Java Properties", "comment", "blank", "total"
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\provider\hospital_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 32, 181
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\provider\navigation_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\provider\session_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\add_docter_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 3, 30
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\booking_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\chatlist_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 8, 9, 102
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\dashboard_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 7, 119
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\docter_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\edit_hospital_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 12, 94
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 8, 51
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\hospital_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 9, 71
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\list_docter_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 2, 9, 84
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\notif_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 8, 51
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\register_hospital.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 4, 41
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 7, 50
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\search_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 2, 16, 117
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\screens\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 5, 16, 151
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\utils\fetch.dart", "Dart", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 1, 16, 93
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\utils\get_session.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 8, 44
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\utils\navigation_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 5, 29
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\utils\secure_storage.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\utils\social_auth.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 7, 40
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\add_docter\docter_schedule.dart", "Dart", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 2, 14, 175
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\add_docter\form_add_docter.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 8, 94
